State,District,Democrat,Democratic Votes,Republican,Republican Votes,Partisan Winner
PA,01,ASHLEY EHASZ,165809,BRIAN K FITZPATRICK,201571,REP
PA,02,BRENDAN F BOYLE,141229,AARON BASHIR,45454,DEM
PA,03,,,DWIGHT EVANS,251115,REP
PA,04,MADELEINE DEAN,224799,CHRISTIAN NASCIMENTO,141986,DEM
PA,05,MARY GAY SCANLON,205128,DAVID GALLUCH,110058,DEM
PA,06,CHRISSY HOULAHAN,190386,GUY CIARROCCHI,136097,DEM
PA,07,SUSAN WILD,151364,LISA SCHELLER,145527,DEM
PA,08,MATT CARTWRIGHT,146956,JIM BOGNET,139930,DEM
PA,09,AMANDA R WALDMAN,92622,DANIEL MEUSER,209185,REP
PA,10,SHAMAINE DANIELS,145215,SCOTT PERRY,169331,REP
PA,11,BOB HOLLISTER,121835,LLOYD SMUCKER,194991,REP
PA,12,SUMMER LEE,184674,MIKE DOYLE,143946,DEM
PA,13,,,JOHN JOYCE,260345,REP
PA,14,,,GUY RESCHENTHALER,230865,REP
PA,15,MIKE MOLESEVICH,91729,GLENN THOMPSON,213417,REP
PA,16,DAN PASTORE,130443,MIKE KELLY,190546,REP
PA,17,CHRIS DELUZIO,193615,JEREMY SHAFFER,169013,DEM
